year,membrane,chloride_wc_0.4,chloride_wc_0.35_SF,membrane + chloride_wc_0.4,membrane with maintenance + chloride_wc_0.4,membrane + chloride_wc_0.37_SF,membrane with maintenance + chloride_wc_0.37_SF
48,0.9999999999794421,0.5818755801824824,0.36430950625280073,0.45932070726866836,0.3127783288752365,0.27624365155463115,0.1497002256329114
49,0.9999999999794421,0.5837155630990246,0.3672976813950416,0.4617000006434465,0.31694045221240086,0.2796457957595022,0.1540513617199616
50,0.9999999999794421,0.5904482569961539,0.3734796994937231,0.4704060890749382,0.32792021473115585,0.28668424432683226,0.16228363970031012
51,0.9999999999794421,0.5925702885052828,0.37629596455735215,0.4731501012423064,0.3313808506049306,0.28989066276267395,0.16603391614726526
52,0.9999999999794421,0.5999482226832836,0.3804519194718251,0.48269055390164795,0.34341287914969965,0.2946223659778261,0.17156818919266992
53,0.9999999999794421,0.6043163381161498,0.38593849578244055,0.4883389911867162,0.35053645714688564,0.30086902921247993,0.1788743828382393
54,0.9999999999794421,0.6066957878189643,0.3902944717904343,0.4914158724243768,0.35441689387272013,0.3058284635918983,0.18467501376508555
55,0.9999999999794421,0.6118270769564501,0.39482168595837863,0.49805117438241664,0.36278506521772735,0.3109828587369332,0.19070367380977815
56,0.9999999999794421,0.6145055886186344,0.3992737350547685,0.5015147745032689,0.3671532159763765,0.3160516757614016,0.19663224036500349
57,0.9999999999794421,0.6204237863125364,0.4030976536941167,0.5091676328190358,0.3768046877662633,0.3204053438094532,0.2017243576494976
58,0.9999999999794421,0.6226180611164063,0.4067889126280524,0.5120050632409998,0.380383138920511,0.32460797404127695,0.20663981877506177
59,0.9999999999794421,0.6273669364679065,0.4093511404759128,0.5181458635494648,0.38812766501769125,0.32752516202699233,0.21005180682748692
60,0.9999999999794421,0.6313176951500581,0.4157144599129274,0.5232546142195289,0.39457061233740054,0.33477002864821237,0.21852551454672364
61,0.9999999999794421,0.6347333316842545,0.41786726296645393,0.5276713951055907,0.4001408756775843,0.3372210718716332,0.22139229249701076
62,0.9999999999794421,0.6376594377521185,0.42245738369564,0.5314551610952505,0.40491280653033457,0.3424470883850921,0.22750472199864502
63,0.9999999999794421,0.6410641621533464,0.4241368561753649,0.5358578314341749,0.41046527422580326,0.3443592278321297,0.2297411897819388
64,0.9999999999794421,0.643560666711981,0.4274713935287094,0.539086077035295,0.4145366054937354,0.3481557177942606,0.23418162298520684
65,0.9999999999794421,0.647176540850263,0.4339432522709608,0.5437617864149312,0.4204334188559129,0.35552416029398026,0.24279986695753075
66,0.9999999999794421,0.6497434045319039,0.4358935229671823,0.5470810138364359,0.424619492673178,0.3577446131895574,0.24539694290456593
67,0.9999999999794421,0.6535305078941231,0.438743972542024,0.551978140792518,0.4307955488234325,0.3609899519132612,0.24919274112037415
68,0.9999999999794421,0.6577113472383592,0.4436358218436973,0.557384410200414,0.4376137146022676,0.36655949719108893,0.25570696716217955
69,0.9999999999794421,0.6581441368034294,0.4448566261977327,0.5579440530838271,0.4383195133089476,0.36794942658299457,0.2573326500122807
70,0.9999999999794421,0.6630473284802393,0.4481412240005767,0.564284400794134,0.4463157004248153,0.37168905858190615,0.26170658126499247
71,0.9999999999794421,0.6634443825076987,0.4523581580582511,0.5647978338311855,0.4469632211639476,0.37649018873115225,0.26732205712310764
72,0.9999999999794421,0.6669712195098998,0.45550562416744317,0.5693584087353426,0.4527148316363965,0.38007369139538594,0.2715133770983952
73,0.9999999999794421,0.6699956231307899,0.46005672395201225,0.5732692839033372,0.45764706738417005,0.3852552811686841,0.27757384439965826
74,0.9999999999794421,0.6732186099945904,0.461831031195214,0.5774369483001618,0.46290315520076974,0.38727539338359007,0.2799365987972393
75,0.9999999999794421,0.6750106180288448,0.46457994020789806,0.5797542050557103,0.4658255846099255,0.3904051245479445,0.2835971806289108
76,0.9999999999794421,0.6770464246618401,0.4668408520924461,0.5823867192984609,0.46914560386312887,0.3929792535395841,0.2866079215917434
77,0.9999999999794421,0.6814204825567602,0.4714272194596617,0.5880428408182402,0.47627887290272997,0.39820099671628406,0.2927153529328085
78,0.9999999999794421,0.6817125080380706,0.47221022584281697,0.588420460787807,0.47675511175796537,0.3990924774702638,0.2937580425696922
79,0.9999999999794421,0.6853236797070245,0.47643822551485904,0.5930900893750527,0.4826442562735761,0.4039062062169827,0.29938825394168633
80,0.9999999999794421,0.689572761520892,0.47767954603456,0.5985846035456655,0.4895737127366,0.4053194939968011,0.3010412571224873
81,0.9999999999794421,0.6923877255967107,0.48287362350040564,0.6022246511328575,0.4941643918204207,0.4112331368419879,0.307957944985214
82,0.9999999999794421,0.6921138604903305,0.48569910210331574,0.6018705144572749,0.493717769134736,0.414450045221618,0.3117204906321831
83,0.9999999999794421,0.6939685289425273,0.48682367165732154,0.6042687977897173,0.49674238594745457,0.41573040785399906,0.3132180225107767
84,0.9999999999794421,0.6957076606672135,0.48972087853495555,0.6065176798598777,0.49957858400096034,0.4190289814381639,0.3170760850402835
85,0.9999999999794421,0.7008648629338727,0.4932958228905137,0.6131864902467226,0.5079890148053735,0.4230991833651092,0.3218366559783584
86,0.9999999999794421,0.7022490887009616,0.4958592179208435,0.614976441211605,0.5102464277261451,0.42601770022978336,0.3252501983081063
87,0.9999999999794421,0.7026715801058614,0.4970382045824289,0.6155227674799314,0.5109354320627293,0.4273600186841582,0.32682019467148915
88,0.9999999999794421,0.7084241197740132,0.4997933745680174,0.6229614123703444,0.5203167466451364,0.4304968781899484,0.33048911392122593
89,0.9999999999794421,0.707976176731509,0.5041643723028584,0.622382174430836,0.5195862354554442,0.4354734153422991,0.33630974851502593
90,0.9999999999794421,0.7120489527662922,0.507024848440269,0.6276487064999087,0.5262281702199314,0.4387301696658643,0.34011889859246436
91,0.9999999999794421,0.7129515246936483,0.5056640521892664,0.6288158278833262,0.5277000959557341,0.43718085449557387,0.338306795678166
92,0.9999999999794421,0.7147443714374436,0.5130174671654926,0.6311341691794081,0.5306238931430365,0.4455529802768686,0.34809896309386157
93,0.9999999999794421,0.7164394344485154,0.514053125427185,0.6333260657213902,0.5333882233799763,0.44673211422502146,0.3494780963423899
94,0.9999999999794421,0.7177650596502922,0.516477009777513,0.6350402399301127,0.5355500697562968,0.4494917931940263,0.3527058594200124
95,0.9999999999794421,0.720099298794261,0.519416292435266,0.6380586591124117,0.5393567765298946,0.45283827155775846,0.3566199521184149
96,0.9999999999794421,0.7225710288337374,0.5204475533686477,0.6412548686284321,0.54338770519806,0.45401239899045776,0.3579932296692657
97,0.9999999999794421,0.7238984190543635,0.5240255918051424,0.6429713251940267,0.5455524299894852,0.4580861236391399,0.3627579208370052
