year,membrane,chloride_wc_0.4,chloride_wc_0.35_SF,membrane + chloride_wc_0.4,membrane with maintenance + chloride_wc_0.4,membrane + chloride_wc_0.37_SF,membrane with maintenance + chloride_wc_0.37_SF
93.5,0.9999999999794421,0.7396433390219316,0.49370914992664394,0.6993104038166835,0.5785649810690467,0.48460793380524214,0.38365999862694034
94.0,0.9999999999794421,0.7409554241014221,0.49431897390758944,0.7008257494629095,0.5806681382972729,0.485228720140797,0.38439863879119673
94.5,0.9999999999794421,0.7411615345519904,0.49651982794916216,0.701063789342177,0.5809985152603991,0.4874691373074683,0.3870643902892781
95.0,0.9999999999794421,0.7413676450025587,0.4987206819907349,0.7013018292214439,0.5813288922235264,0.48970955447413966,0.389730141787359
95.5,0.9999999999794421,0.7420161918184759,0.4999015160610122,0.7020508451269181,0.5823684558501994,0.49091161552501705,0.3911604093709272
96.0,0.9999999999794421,0.7426647386343931,0.5010823501312895,0.7027998610323923,0.5834080194768729,0.49211367657589444,0.3925906769544957
96.5,0.9999999999794421,0.7433531927148052,0.5031857785562264,0.7035949664029861,0.5845115509460996,0.4942549167776873,0.3951384231334636
97.0,0.9999999999794421,0.7440416467952173,0.5052892069811631,0.7043900717735798,0.5856150824153262,0.49639615697948036,0.39768616931243006
97.5,0.9999999999794421,0.7451862026388589,0.5063458072550182,0.7057119355319865,0.587449704981569,0.49747175097487417,0.39896596057059563
98.0,0.9999999999794421,0.7463307584825006,0.5074024075288732,0.7070337992903934,0.5892843275478121,0.4985473449702692,0.40024575182876077
98.5,0.9999999999794421,0.7473279044954386,0.5092745573033266,0.7081854173470086,0.5908826650927541,0.5004531489963587,0.4025133652059363
99.0,0.9999999999794421,0.7483250505083767,0.51114670707778,0.7093370354036244,0.5924810026376957,0.502358953022449,0.40478097858311224
99.5,0.9999999999794421,0.749914721192041,0.5120121485958122,0.7111729685965837,0.595029105227313,0.5032399519424701,0.405829231661061
100.0,0.9999999999794421,0.7515043918757051,0.5128775901138444,0.7130089017895429,0.5975772078169301,0.5041209508624914,0.40687748473901053
100.5,0.9999999999794421,0.752149867964023,0.513865765701041,0.7137543712682106,0.5986118493367623,0.50512689015125,0.40807439762018227
101.0,0.9999999999794421,0.7527953440523408,0.5148539412882378,0.7144998407468782,0.5996464908565944,0.5061328294400088,0.4092713105013538
101.5,0.9999999999794421,0.7542701031961732,0.5168695144041753,0.716203060974568,0.6020104003329896,0.5081846350229005,0.41171264325300816
102.0,0.9999999999794421,0.7557448623400056,0.5188850875201129,0.7179062812022576,0.6043743098093841,0.5102364406057922,0.41415397600466275
102.5,0.9999999999794421,0.7567612017158188,0.5201418508664715,0.7190800659455645,0.6060034126305232,0.5115157958571807,0.4156762117867743
103.0,0.9999999999794421,0.7577775410916321,0.5213986142128302,0.7202538506888713,0.6076325154516626,0.5127951511085693,0.41719844756888724
103.5,0.9999999999794421,0.7586579033849762,0.5213957443417049,0.7212705935732873,0.609043658943534,0.5127922296478937,0.41719497148046636
104.0,0.9999999999794421,0.7595382656783203,0.5213928744705796,0.7222873364577034,0.6104548024354054,0.512789308187218,0.41719149539204425
104.5,0.9999999999794421,0.7596013016792118,0.5231128094164834,0.7223601376281452,0.6105558436125256,0.5145401611313815,0.4192747408376931
105.0,0.9999999999794421,0.7596643376801032,0.5248327443623872,0.7224329387985874,0.6106568847896456,0.5162910140755448,0.42135798628334287
105.5,0.9999999999794421,0.7610486339037911,0.5256603890091821,0.7240316821182406,0.6128757901444613,0.5171335366779337,0.4223604584670485
106.0,0.9999999999794421,0.7624329301274789,0.526488033655977,0.7256304254378938,0.6150946954992773,0.517976059280322,0.42336293065075303
106.5,0.9999999999794421,0.7628184833339398,0.5282506670951175,0.7260757062980536,0.6157127034514362,0.5197703782769503,0.4254978940068872
107.0,0.9999999999794421,0.7632040365404005,0.5300133005342581,0.7265209871582139,0.6163307114035942,0.5215646972735788,0.42763285736302115
107.5,0.9999999999794421,0.7657030612065234,0.531900536406099,0.7294071461480646,0.6203364286182994,0.5234858585886699,0.4299187435497295
108.0,0.9999999999794421,0.7682020858726464,0.5337877722779399,0.7322933051379152,0.6243421458330043,0.5254070199037606,0.4322046297364377
108.5,0.9999999999794421,0.7681166987101183,0.5343972492956655,0.7321946902942569,0.6242052777054143,0.526027453038994,0.4329428496466903
109.0,0.9999999999794421,0.7680313115475903,0.5350067263133909,0.7320960754505981,0.6240684095778242,0.5266478861742273,0.4336810695569424
109.5,0.9999999999794421,0.7683875176199577,0.5363923128957642,0.7325074628898416,0.6246393766496612,0.5280583804216519,0.43535934055443337
110.0,0.9999999999794421,0.7687437236923252,0.5377778994781376,0.7329188503290853,0.6252103437214986,0.5294688746690766,0.43703761155192467
110.5,0.9999999999794421,0.7686282738379067,0.5391075750257716,0.7327855156566734,0.6250252877372382,0.5308224528104484,0.43864816114590544
111.0,0.9999999999794421,0.768512823983488,0.5404372505734055,0.732652180984261,0.6248402317529779,0.5321760309518203,0.4402587107398872
111.5,0.9999999999794421,0.7705498246539174,0.5418084063749243,0.7350047419161275,0.6281053650517874,0.5335718350069175,0.4419195026701823
112.0,0.9999999999794421,0.7725868253243469,0.5431795621764431,0.7373573028479942,0.6313704983505971,0.5349676390620147,0.44358029460047765
112.5,0.9999999999794421,0.7731331003820934,0.5451659126490889,0.7379882036511033,0.63224612932473,0.5369896966877725,0.44598623186307995
113.0,0.9999999999794421,0.77367937543984,0.5471522631217346,0.7386191044542122,0.6331217602988628,0.5390117543135304,0.44839216912568236
113.5,0.9999999999794421,0.7738579982148867,0.5466276358246918,0.7388253984276099,0.6334080769305641,0.5384776961796437,0.4477567221689066
114.0,0.9999999999794421,0.7740366209899333,0.5461030085276489,0.7390316924010072,0.6336943935622654,0.5379436380457572,0.4471212752121303
114.5,0.9999999999794421,0.7756725926017762,0.548439896608583,0.7409210991918518,0.6363167124761858,0.5403225346350891,0.4499517959031556
115.0,0.9999999999794421,0.777308564213619,0.5507767846895173,0.7428105059826964,0.6389390313901058,0.5427014312244216,0.4527823165941808
115.5,0.9999999999794421,0.77714563243518,0.5517710437243863,0.7426223337635708,0.6386778660488575,0.5437135633184914,0.453986597960241
